,x1,y1,x2,y2,step,time,direction,x_center,y_center
0,10,10,110,110,0,0.0,1,60.0,60.0
1,11,11,111,111,1,0.0174524064,1,61.0,61.0
2,14,14,114,114,2,0.0348994967,1,64.0,64.0
3,19,19,119,119,3,0.0523359562,1,69.0,69.0
4,25,25,125,125,4,0.0697564737,1,75.0,75.0
5,33,33,133,133,5,0.08715574279999999,1,83.0,83.0
6,43,43,143,143,6,0.1045284633,1,93.0,93.0
7,55,55,155,155,7,0.1218693434,1,105.0,105.0
8,68,68,168,168,8,0.139173101,1,118.0,118.0
9,83,83,183,183,9,0.156434465,1,133.0,133.0
10,100,100,200,200,10,0.1736481777,1,150.0,150.0
11,119,119,219,219,11,0.1908089954,1,169.0,169.0
12,139,139,239,239,12,0.2079116908,1,189.0,189.0
13,161,161,261,261,13,0.2249510543,1,211.0,211.0
14,185,185,285,285,14,0.2419218956,1,235.0,235.0
15,210,210,310,310,15,0.25881904510000003,1,260.0,260.0
16,237,237,337,337,16,0.2756373558,1,287.0,287.0
17,266,266,366,366,17,0.2923717047,1,316.0,316.0
18,296,296,396,396,18,0.3090169944,1,346.0,346.0
19,328,328,428,428,19,0.3255681545,1,378.0,378.0
20,362,362,462,462,20,0.34202014329999997,1,412.0,412.0
21,397,397,497,497,21,0.3583679495,1,447.0,447.0
22,434,434,534,534,22,0.3746065934,1,484.0,484.0
23,473,473,573,573,23,0.3907311285,1,523.0,523.0
24,513,513,613,613,24,0.4067366431,1,563.0,563.0
25,555,555,655,655,25,0.4226182617,1,605.0,605.0
26,598,598,698,698,26,0.4383711468,1,648.0,648.0
27,643,643,743,743,27,0.4539904997,1,693.0,693.0
28,689,689,789,789,28,0.4694715628,1,739.0,739.0
29,640,640,740,740,29,-0.4848096202,-1,690.0,690.0
30,590,590,690,690,30,-0.5,-1,640.0,640.0
31,538,538,638,638,31,-0.5150380749,-1,588.0,588.0
32,485,485,585,585,32,-0.5299192642,-1,535.0,535.0
33,430,430,530,530,33,-0.544639035,-1,480.0,480.0
34,374,374,474,474,34,-0.5591929035000001,-1,424.0,424.0
35,316,316,416,416,35,-0.5735764364,-1,366.0,366.0
36,257,257,357,357,36,-0.5877852523,-1,307.0,307.0
37,196,196,296,296,37,-0.6018150232,-1,246.0,246.0
38,134,134,234,234,38,-0.6156614753,-1,184.0,184.0
39,71,71,171,171,39,-0.629320391,-1,121.0,121.0
40,6,6,106,106,40,-0.6427876097,-1,56.0,56.0
41,71,71,171,171,41,0.656059029,1,121.0,121.0
42,137,137,237,237,42,0.6691306064,1,187.0,187.0
43,205,205,305,305,43,0.6819983601,1,255.0,255.0
44,274,274,374,374,44,0.6946583705,1,324.0,324.0
45,344,344,444,444,45,0.7071067812,1,394.0,394.0
46,415,415,515,515,46,0.7193398003,1,465.0,465.0
47,488,488,588,588,47,0.7313537016,1,538.0,538.0
48,562,562,662,662,48,0.7431448254999999,1,612.0,612.0
49,637,637,737,737,49,0.7547095802,1,687.0,687.0
50,713,713,813,813,50,0.7660444431,1,763.0,763.0
51,635,635,735,735,51,-0.7771459615,-1,685.0,685.0
52,556,556,656,656,52,-0.7880107536,-1,606.0,606.0
53,476,476,576,576,53,-0.79863551,-1,526.0,526.0
54,395,395,495,495,54,-0.8090169944,-1,445.0,445.0
55,313,313,413,413,55,-0.8191520443000001,-1,363.0,363.0
56,230,230,330,330,56,-0.8290375726000001,-1,280.0,280.0
57,146,146,246,246,57,-0.8386705679,-1,196.0,196.0
58,61,61,161,161,58,-0.8480480962000001,-1,111.0,111.0
59,146,146,246,246,59,0.8571673006999999,1,196.0,196.0
60,232,232,332,332,60,0.8660254037999999,1,282.0,282.0
61,319,319,419,419,61,0.8746197070999999,1,369.0,369.0
62,407,407,507,507,62,0.8829475929,1,457.0,457.0
63,496,496,596,596,63,0.8910065242,1,546.0,546.0
64,585,585,685,685,64,0.8987940462999999,1,635.0,635.0
65,675,675,775,775,65,0.906307787,1,725.0,725.0
66,766,766,866,866,66,0.9135454576,1,816.0,816.0
67,858,858,958,958,67,0.9205048534999999,1,908.0,908.0
68,950,950,1050,1050,68,0.9271838546,1,1000.0,1000.0
69,856,856,956,956,69,-0.9335804265000001,-1,906.0,906.0
70,762,762,862,862,70,-0.9396926207999999,-1,812.0,812.0
71,667,667,767,767,71,-0.9455185756000001,-1,717.0,717.0
72,571,571,671,671,72,-0.9510565163,-1,621.0,621.0
73,475,475,575,575,73,-0.956304756,-1,525.0,525.0
74,378,378,478,478,74,-0.9612616959,-1,428.0,428.0
75,281,281,381,381,75,-0.9659258262999999,-1,331.0,331.0
76,183,183,283,283,76,-0.9702957262999999,-1,233.0,233.0
77,280,280,380,380,77,0.9743700648,1,330.0,330.0
78,377,377,477,477,78,0.9781476007,1,427.0,427.0
79,475,475,575,575,79,0.9816271834,1,525.0,525.0
80,573,573,673,673,80,0.984807753,1,623.0,623.0
81,671,671,771,771,81,0.9876883406,1,721.0,721.0
82,770,770,870,870,82,0.9902680687000001,1,820.0,820.0
83,869,869,969,969,83,0.9925461515999999,1,919.0,919.0
84,769,769,869,869,84,-0.9945218954,-1,819.0,819.0
85,669,669,769,769,85,-0.9961946981,-1,719.0,719.0
86,569,569,669,669,86,-0.9975640503000001,-1,619.0,619.0
87,469,469,569,569,87,-0.9986295348,-1,519.0,519.0
88,369,369,469,469,88,-0.999390827,-1,419.0,419.0
89,269,269,369,369,89,-0.9998476951999999,-1,319.0,319.0
90,169,169,269,269,90,-1.0,-1,219.0,219.0
91,69,69,169,169,91,-0.9998476951999999,-1,119.0,119.0
92,168,168,268,268,92,0.999390827,1,218.0,218.0
93,267,267,367,367,93,0.9986295348,1,317.0,317.0
94,366,366,466,466,94,0.9975640503000001,1,416.0,416.0
95,465,465,565,565,95,0.9961946981,1,515.0,515.0
96,564,564,664,664,96,0.9945218954,1,614.0,614.0
97,663,663,763,763,97,0.9925461515999999,1,713.0,713.0
98,762,762,862,862,98,0.9902680687000001,1,812.0,812.0
99,860,860,960,960,99,0.9876883406,1,910.0,910.0
